1-1,Fouillee Commentary,"<p>1. Τῶν ὄντων est rapporté par Simplicius seulement à ce qui est en nous et en rapport direct avec nos (περὶ ἡμᾶς) parce qu'autrement il n’y aurait pas de proportion entre les deux membres de la dichotomie, si l'univers entier était opposé à l'homme. Mais rien n'indique cette restriction.</p>
<p>2. ἡμέτερα ἔργα, nos opérations, c'est-à-dire les opérations de notre âme. </p>
<p>3. δόξαι, ainsi placé entre κτῆσις et ἀρχαὶ, ne peut signifier que témoignages de considération, comme dans Démosthène, de Corona, 80, ἔππινοι, δόξαι, τιμαί, et non, comme l'entend Simplicius, opinion bonne ou mauvaise que les autres ont de nous. </p>"
1-2,Fouillee Commentary,<p>None</p>
1-3,Fouillee Commentary,"<p>1. οὐδὲ ἕν, sans apostrophe, a la signification de οὐδὲν renforcée, absolument rien.</p>
<p>2. ἐχθρὸν οὐχ ἕξεις, tu n’auras pas d’ennemi, parce que le propre d’un ennemi est de nuire.</p>"
1-4,Fouillee Commentary,"<p>1. τηλικούτων, les biens qui’il vient d’énumérer</p>
<p>2. μετρίως κεκινημένον, avec un mouvement de l’âme modère, c.-à-d. avec tiédeur.</p>
<p>3. ἅπτεσθαι αὐτῶν, se mettre à les rechercher. Voyez ἅπτεσθαι ἔργου signifiant se mettre à l’œuvre, plus bas, ch. Iv, xxxiv, xxxviii.</p>
<p>4. τὰ μὲν... τὰ δ(ὲ), certaines choses…d’autres. L’article a, il est vrai, ce sens indéfini, plus ordinairement dans la construction adverbiale ou il répond a en partie, en partie. </p>
<p>5. ταῦτ', les biens qu’il a désignés plus haut par τηλικούτων. </p>
<p>6. τυχὸν peut-etre </p>
<p>7. περιγίνεται, est acquis. </p>
<p>8. Il n’est pas question ici des impressions agréables, probablement parce qu’elles sont moins fréquentes. </p>"
1-5,Fouillee Commentary,"<p>1. μελέτα, exerce-toi.</p>
<p>2. ἐπιλέγειν, dire a propos de. Voyez plus bas, ch. III, IV, IX, XII, L.</p>
<p>3. οὐ πάντως, pas tout à fait. La négation porte sur le mot qui la suit immédiatement. Πάντως οὐ signifie nullement (Homère, Il. VI. I, 450, etc.). </p>
<p>4. τὸ φαινόμενον, ce que tu représentes. </p>
<p>5. τούτῳ…,  πότερον, la règle qui fait reconnaitre si. </p>
<p>6. διότι est synonyme de ὅτι, qui sert souvent à annoncer une proposition au style direct. </p>"
2-1,Fouillee Commentary,"<p>1. ὀρέξεως ἐπαγγελία, ce que le désir annonce qu'il veut, et non promet. Car le désir, qui ne donne pas, ne peut promettre.</p>
<p>2. ἀποτυγχάνων, sous-entendu οὖ ὸρέγεται</p>
<p>3. ἀτυχής, manque de bonheur, n'a pas le bien qu'il recherche</p>
<p>4. περιπίπτων, sous-entendu ᾦ ἐκκλίνει</p>
<p>5. δυστυχής, malheureux, a le mal qu'il évite.</p>"
2-2,Fouillee Commentary,"<p>1. ἆρον…πάντων τῶν, retire ton aversion de tout ce qui..., c'est à dire cesse de donner pour objet a ton aversion rien de ce qui...</p>
<p>2. ἐπὶ τοῦ παρόντος, quant à présent. Plus tard, quand tu auras fait des progrès dans la sagesse, tu désireras ce qui est bonnète.</p>
<p>3. σοι πάρεστι, est à ta portée.</p>
<p>4. μόνῳ, parce que ὁρμᾶν et ἀφορμᾶν signifient des mouvements de l'amé d'un ordre moins élevé que le désir et l'aversion. Voyez le Lexique. </p>
<p>5. μεθ᾽ ὑπεξαιρέσεως, en faisant des réserves, c'est à dire en prévoyant qu'on n'aura pas ce qu'on recherche, ou qu'on tombera dans ce qu'on veut éviter.</p>"
3-1,Fouillee Commentary,"<p>1. Sur la construction du style direct avec ὅτι, voy. plus haut, page 3, note 5. Un peu plus bas, le tour change, et l'auteur passe au style indirect, ὅτι…καταφιλεῖς. </p>
<p>2. ἄνθρωπον, un être humain, par conséquent mortel.</p>"
4-1,Fouillee Commentary,"<p>1. Dans les bains publics des anciens, on ne se baignait pas dans des cabinets sépares comme aujourd'hui, mais plutôt comme nous nous baignons au bain froid. </p>
<p>2. τοὺς ἀπορραίνοντας, les gens qui vous jettent de l'eau.</p>
<p>3. τοὺς ἐγκρουομένους, les gens qui vous poussent, vous heurtent. </p>
<p>4. on volait souvent des vêtements. </p>
<p>5. καὶ signifie et aussi, et en outre, comme plus bas, ch. xiii.</p>
<p>6. διότι, synonyme de ὅτι, est employé comme plus haut, page 3, note 5, τὸ διὅτι</p>
<p>7 τὰ γινόμενα, ce qui arrive tous les jours Voyez plus bas, ch. xxvi, τῶν γινομένων ἐστίν et la note 3 de la page 22. </p>"
5-1,Fouillee Commentary,"<p>1. ἂν ἐφαίνετο, aurait paru. L'imparfait fait ici fonction de l'aoriste ou du plus-que-parfait, comme dans Thucydide, I, 9, 3: οὐκ ἄν οὖν νήσων...ἐκράτει, εἰ μή τι καὶ ναυτικὸν εἶχεν. On sous-entend ici εἴ δεινὸν ἦν.</p>
<p>2. ἑαυτούς...ἑαυτῶν sont les équivalents de ἡμάς αὐτοὺς, ἡμῶν αὐτῶν. </p>
<p>3. ἀπαιδεύτου, celui qui n'est pas instruit dans la philosophie. Voy. Disc. III, 19, 6.</p>"
6-1,Fouillee Commentary,<p>None</p>
7-1,Fouillee Commentary,"<p>1. καθάπερ ἐν πλῷ...répond a la proposition principale οὕτω καὶ ἐν τῷ βίῳ,. On trouve une comparaison analogue dans Disc. III, 24,33 et 34. L'homme est sous les ordres de la divinité, comme un matelot sous les ordres du pilote. Le matelot, que le pilote a envoyé faire de l'eau, peut ramasser, chemin faisant, un coquillage ou un oignon de jacinthe; mais il doit toujours penser an navire et être prêt à obéir à la voix du pilote. De même l’homme peut prendre femme et élever des enfants; mais il doit être toujours prêt à les quitter, si la divinité le rappelle. S'il est vieux, il ne doit pas s'engager trop avant dans les liens du monde, mariage, affaires, etc.;  autrement il ne pourra plus obéir à la voix de la divinité; il sera moins disposé à quitter les liens ou il est engagé. </p>
<p>2. πάρεργον est construit à l'accusatif, comme en apposition a la proposition suivante: tu ramasseras un coquillage ou un oignon: occupation accessoire dans ta route. </p>
<p>3. καὶ... καὶ, soit... soit. </p>
<p>4. τετάσθαι... δεῖ τὴν διάνοιαν, sous-enté, σέ. Il faut que tu aies l'esprit tendu. </p>
<p>5. ἐπιστρέφεσθαι, μή... καλέσῃ, te retourner pour voir si le pilote ne t'appelle pas. Il faut sous-entendre un verbe comme σκοποῦντα.</p>
<p>6. διδῶται, t'est donne et laisse. Voyez plus bas, ch. xi, μέχρι δ' ἄν διδῷ. </p>
<p>7. γυναικάριον, diminutif intraduisible de γυνὴ, qui exprime, comme les diminutifs précédents κοχλίδιον, βολβάριον, que l'objet est de peu de valeur, e ne mérite pas qu'on s'y attache tant. </p>
<p>8. κωλύσει, sous-entendu ἔχειν. </p>"
8-1,Fouillee Commentary,"<p>1. on lit de même dans Disc. I, 12, 45, ἕκαστα οὕτω θέλειν ὡς γίνεται. </p>"
9-1,Fouillee Commentary,<p>None</p>
10-1,Fouillee Commentary,"<p>1. ἐπιστρέφων, sous-entendu τὸν νοῦν.</p>
<p>2. καλήν, sous-enté, ἐγκράτειαν</p>
<p>3. εὑρήσεις δύναμιν... ἐγκράτειαν, tu trouveras comme faculté... la continence. δύναμιν est construit comme attribut.</p>"
1-1,Thurot Commentary,"<p>1.ὑπόληψις, l'opinion qu'on se fait sur une chose, ce qu’on soupçonne de cette chose. — L'opinion dépend de nous parce que nous pouvons suspendre notre jugement. C’est la théorie de Descartes.</p>
<p>2.ὁρμή, l'élan de la volonté vers les objets, élan que nous pouvons diriger ou suspendre. C’est quelque chose d'analogue à la motion de Maine de Biran, qui est le commencement de l'exécution volontaire.</p>
<p>3.ὄρεξις, le désir. Nous pouvons le détourner des choses qui ne dépendent pas de nous, pour le tourner vers celles qui dépendent de nous.</p>
<p>4.ἔκκλισις, le mouvement par lequel on s'écarte d'un objet, et que la volonté peut encore réprimer. </p>"
1-2,Thurot Commentary,<p>None</p>
1-3,Thurot Commentary,"<p>1.Dans ce centre intérieur ou je suis libre rien ne peut m’atteindre, nul ne peut me blesser. Les coups extérieurs ne-portent que sur ma sensibilité passive ; ils ne peuvent modifier ma volonté, qui se modifie seule elle-même. L’homme, en tant que moralement libre, n’a donc point d’ennemi, puisque personne ne peut lui enlever sa liberté morale. L’homme ne peut avoir d’ennemi qu’en tant qu’être sensible, passif, sujet a la douleur, c’est-à-dire en tant qu'il n’est pas vraiment homme. — Belle doctrine, qui montre dans la liberté le lien des hommes et le fondement de l’amitié universelle. Toutefois, est-il absolument vrai que ma liberté morale ne peut être atteinte par les autres hommes? Si l’on m’enlève les moyens, soit d’éclairer intérieurement cette liberté, soit de l'exercer extérieurement, ne porte-t-on pas une atteinte indirecte à ma liberté même?</p>"
1-4,Thurot Commentary,"<p>1.Vouloir à la fois, comme les Epicuriens et les Péripatéticiens, les biens extérieurs et les biens intérieurs, c'est s'exposer à perdre les premiers eux-mêmes. </p>"
1-5,Thurot Commentary,"<p>2. V. les Entretiens d'Épictète, lI, Xvi: </p>"
2-1,Thurot Commentary,<p>None</p>
2-2,Thurot Commentary,"<p>1.Sous condition «μεθ᾽ ὑπεξαιρέσεως», c’est-à-dire en exceptant de sa volonté les accidents qui peuvent survenir. Les Stoïciens prétendaient que le sage ne doit s’étonner de rien et n'être déçu par aucun événement. Pour qu'il soit libre, il faut que tout ce qui arrive soit accepté et voulu par lui.—Mais si quel- que chose arrive contre son attente et son intention, ne sera-t-il pas déçu? —Pour éviter cette déception, les Stoïciens conseillent de vouloir d’avance les exceptions possibles, et de consentir d’avance au contraire de ce que nous avions voulu. Je veux arriver au port; mais, si je fais naufrage, je consens d’avance à faire naufrage : de cette manière les exceptions elles-mêmes confirmeront la règle.</p>"
3-1,Thurot Commentary,"<p>1.Marc-Auréle, Pensées : « Epictète conseillait à tout père qui baise son enfant de dire tout bas: Tu mourras peut-être demain. — Mais cela est de mauvais augure! — Rien, dit-il, de ce qui signifie une opération naturelle n'est de mauvais augure, car autrement il serait de mauvais augure de parler de la moisson. »</p>
<p>2.Epictète met presque sur le même rang le vase de terre qui se brise et l’être humain qui meurt. Le vase brisé est le symbole du corps qui se dissout. Mais qu’un vase se brise, il n'y a point la de mal ni d’injustice, car le vase ne renferme point une volonté et n’est point une personne. Au contraire, quand nous voyons mourir ceux que nous aimons, quand toute communication cesse entre notre âme et leur âme, quand leur personnalité semble s‘évanouir avec ses organes, il y a là un mal tout au moins provisoire, un triomphe au moins apparent de la nature fatale sur la volonté libre et aimante. Comment resterions-nous impassibles devant cette brutalité de la matière à l’égard de l’esprit ? Les Stoïciens ne considéraient même pas la séparation causée par la mort comme provisoire, et ils se résignaient à une séparation définitive. Au lieu de supporter ainsi et de s’abstenir, Ieur vrai devoir eut été de protester et de se révolter contre la fatalité de la nature. — Protestation inutile, dira-t-on. — N’importe. Si la justice n’existe pas dans le monde, qu’elle existe au moins dans notre intelligence ; si l'univers écrase le roseau pensant, que le ro- seau à son tour domine ce qui Ie tue en élevant l'idéal au-dessus de la réalité.</p>"
4-1,Thurot Commentary,<p>None</p>
5-1,Thurot Commentary,<p>None</p>
6-1,Thurot Commentary,"<p>1.Solon Epictète, nos représentations nous viennent des objets extérieurs par le moyen des sens, et il n’est pas en notre pouvoir de les changer ; mais ce qui est en notre pouvoir, c’est d’en faire un bon ou un mauvais usage, en leur accordant ou en leur refusant notre consentement volontaire (συγκατάθεσις).— Il y a une grande analogie entre cette doctrine et celle de Descartes. Selon ce dernier, l’entendement est passif, la volonté est active; l’entendement reçoit les idées, la volonté accorde ou refuse aux idées son assentiment. L'affirmation, et en conséquence le jugement, sont volontaires. L'erreur vient de ce que la volonté dépasse par ses affirmations la représentation a qu'elle a reçues. L'erreur est déjà un vice, et tout vice est une erreur.</p>"
7-1,Thurot Commentary,"<p>1.Remarquer les ressemblances et les différences de ces doctrines avec celles du christianisme.—St Mathieu, ch. x : « Ne pensez pas que je sois venu apporter la paix sur la terre car je suis venu séparer le fils d'avec le père, la fille d’avec la mère, et la belle-fille d'avec la belle-mère : et l'homme aura pour ennemis ceux de sa propre maison. Celui qui aime son père ou sa mère plus que moi n'est pas digne de moi. » Saint Mathieu, ch. 19 : « En ce temps-là, Pierre dit à Jésus : Voilà que nous vous avons suivi et que nous avons tout quitté : quelle sera donc notre récompense? Jésus leur répondit : …. Quiconque abandonnera pour mon nom sa maison, ou ses frères, on ses sœurs, où son père, ou sa mère, ou sa femme, ou ses enfants, ou ses terres, recevra le centuple, et possédera la vie éternelle. »</p>
<p>2.Epictète, dans ce chapitre, assimile encore et place sur le mème rang les choses matérielles, dont notre volonté doit être en effet détachée, et les personnes libres, auxquelles nous devons nous attacher librement pour toujours. Le Stoïcien semble considérer comme rien tout ce qui n’est pas sa liberté propre, même les autres libertés; il sent sa valeur, et ne sent pas assez la valeur d'autrui ; il sait se respecter et respecter les autres, il ne sait pas aimer.</p>"
8-1,Thurot Commentary,"<p>1.Descartes a placé une règle analogue dans sa « morale de provision :» — Tâcher plutôt de se vaincre que de vaincre la fortune. — Horace disait aussi avec Aristippe : Non mihi res, sed me rebus subiungere. C’est en vue du plaisir et de l'intérêt qu‘Aristippe se soumet et se plie aux évènements, dans ce jeu de la vie où le plus habile gagne le prix : la volupté. C'est en vue de La liberté que le Stoïcien consent à la fatalité même, dans cette lutte de la vie où le plus fort et le plus patient obtient le plus noble avantage: la dignité.</p>"
9-1,Thurot Commentary,<p>1. V. les Entretiens. </p>
10-1,Thurot Commentary,<p>None</p>
1-1,Greek,"<p>τῶν ὄντων τὰ μέν ἐστιν ἐφ' ἡμῖν, τὰ δὲ οὐκ ἐφ' ἡμῖν. ἐφ' ἡμῖν μὲν ὑπόληψις, ὁρμή, ὄρεξις, ἔκκλισις καὶ ἑνὶ λόγῳ ὅσα ἡμέτερα ἔργα· οὐκ ἐφ' ἡμῖν δὲ τὸ σῶμα, ἡ κτῆσις, δόξαι, ἀρχαὶ καὶ ἑνὶ λόγῳ ὅσα οὐχ ἡμέτερα ἔργα.</p>"
1-2,Greek,"<p> καὶ τὰ μὲν ἐφ' ἡμῖν ἐστι φύσει ἐλεύθερα, ἀκώλυτα, ἀπαραπόδιστα, τὰ δὲ οὐκ ἐφ' ἡμῖν ἀσθενῆ, δοῦλα, κωλυτά, ἀλλότρια. μέμνησο οὖν, </p>"
1-3,Greek,"<p> ὅτι, ἐὰν τὰ φύσει δοῦλα ἐλεύθερα οἰηθῇς καὶ τὰ ἀλλότρια ἴδια, ἐμποδισθήσῃ, πενθήσεις, ταραχθήσῃ, μέμψῃ καὶ θεοὺς καὶ ἀνθρώπους, ἐὰν δὲ τὸ σὸν μόνον οἰηθῇς σὸν εἶναι, τὸ δὲ ἀλλότριον, ὥσπερ ἐστίν, ἀλλότριον, οὐδείς σε ἀναγκάσει οὐδέποτε, οὐδείς σε κωλύσει, οὐ μέμψῃ οὐδένα, οὐκ ἐγκαλέσεις τινί, ἄκων πράξεις οὐδὲ ἕν, οὐδείς σε βλάψει, ἐχθρὸν οὐχ ἕξεις, οὐδὲ γὰρ βλαβερόν τι πείσῃ.</p>"
1-4,Greek,"<p> τηλικούτων οὖν ἐφιέμενος μέμνησο, ὅτι οὐ δεῖ μετρίως κεκινημένον ἅπτεσθαι αὐτῶν, ἀλλὰ τὰ μὲν ἀφιέναι παντελῶς, τὰ δ' ὑπερτίθεσθαι πρὸς τὸ παρόν. ἐὰν δὲ καὶ ταῦτ' ἐθέλῃς καὶ ἄρχειν καὶ πλουτεῖν, τυχὸν μὲν οὐδ' αὐτῶν τούτων τεύξῃ διὰ τὸ καὶ τῶν προτέρων ἐφίεσθαι, πάντως γε μὴν ἐκείνων ἀποτεύξη, δι' ὧν μόνων ἐλευθερία καὶ εὐδαιμονία περιγίνεται.</p>"
1-5,Greek,"<p> εὐθὺς οὖν πάσῃ φαντασίᾳ τραχείᾳ μελέτα ἐπιλέγειν ὅτι ‘φαντασία εἶ καὶ οὐ πάντως τὸ φαινόμενον.’ ἔπειτα ἐξέταζε αὐτὴν καὶ δοκίμαζε τοῖς κανόσι τούτοις οἷς ἔχεις, πρώτῳ δὲ τούτῳ καὶ μάλιστα, πότερον περὶ τὰ ἐφ' ἡμῖν ἐστιν ἣ περὶ τὰ οὐκ ἐφ' ἡμῖν· κἂν περί τι τῶν οὐκ ἐφ' ἡμῖν ᾖ, πρόχειρον ἔστω τὸ διότι ‘οὐδὲν πρὸς ἐμέ’ </p>"
2-1,Greek,"<p>μέμνησο, ὅτι ὀρέξεως ἐπαγγελία ἐπιτυχία, οὗ ὀρέγῃ, ἐκκλίσεως ἐπαγγελία τὸ μὴ περιπεσεῖν ἐκείνῳ, ὃ ἐκκλίνεται, καὶ ὁ μὲν ἐν ὀρέξει ἀποτυγχάνων ἀτυχής, ὁ δὲ ἐν ἐκκλίσει περιπίπτων δυστυχής. ἂν μὲν οὖν μόνα ἐκκλίνῃς τὰ παρὰ φύσιν τῶν ἐπὶ σοί, οὐδενί, ὧν ἐκκλίνεις, περιπεσῇ· νόσον δ' ἂν ἐκκλίνῃς ἣ θάνατον ἣ πενίαν, δυστυχήσεις. </p>"
2-2,Greek,"<p>ἆρον οὖν τὴν ἔκκλισιν ἀπὸ πάντων τῶν οὐκ ἐφ' ἡμῖν καὶ μετάθες ἐπὶ τὰ παρὰ φύσιν τῶν ἐφ' ἡμῖν. τὴν ὄρεξιν δὲ παντελῶς ἐπὶ τοῦ παρόντος ἄνελε· ἄν τε γὰρ ὀρέγῃ τῶν οὐκ ἐφ' ἡμῖν τινος, ἀτυχεῖν ἀνάγκη τῶν τε ἐφ' ἡμῖν, ὅσων ὀρέγεσθαι καλὸν ἄν, οὐδὲν οὐδέπω σοι πάρεστι. μόνῳ δὲ τῷ ὁρμᾶν καὶ ἀφορμᾶν χρῶ, κούφως μέντοι καὶ μεθ' ὑπεξαιρέσεως καὶ ἀνειμένως.</p>"
3-1,Greek,"<p>ἐφ' ἑκάστου τῶν ψυχαγωγούντων ἣ χρείαν παρεχόντων ἣ στεργομένων μέμνησο ἐπιλέγειν, ὁποῖόν ἐστιν, ἀπὸ τῶν σμικροτάτων ἀρξάμενος· ἂν χύτραν στέργῃς, ὅτι ‘χύτραν στέργω.’ κατεαγείσης γὰρ αὐτῆς οὐ ταραχθήσῃ· ἂν παιδίον σαυτοῦ καταφιλῇς ἣ γυναῖκα, ὅτι ἄνθρωπον καταφιλεῖς· ἀποθανόντος γὰρ οὐ ταραχθήσῃ.</p>"
4-1,Greek,"<p>ὅταν ἅπτεσθαί τινος ἔργου μέλλῃς, ὑπομίμνῃσκε σεαυτόν, ὁποῖόν ἐστι τὸ ἔργον. ἐὰν λουσόμενος ἀπίῃς, πρόβαλλε σεαυτῷ τὰ γινόμενα ἐν βαλανείῳ, τοὺς ἀπορραίνοντας, τοὺς ἐγκρουομένους, τοὺς λοιδοροῦντας, τοὺς κλέπτοντας. καὶ οὕτως ἀσφαλέστερον ἅψῃ τοῦ ἔργου, ἐὰν ἐπιλέγῃς εὐθὺς ὅτι ‘λούσασθαι θέλω καὶ τὴν ἐμαυτοῦ προαίρεσιν κατὰ φύσιν ἔχουσαν τηρῆσαι.’ καὶ ὡσαύτως ἐφ' ἑκάστου ἔργου. οὕτω γὰρ ἄν τι πρὸς τὸ λούσασθαι γένηται ἐμποδών, πρόχειρον ἔσται διότι ‘ἀλλ' οὐ τοῦτο ἤθελον μόνον, ἀλλὰ καὶ τὴν ἐμαυτοῦ προαίρεσιν κατὰ φύσιν ἔχουσαν τηρῆσαι· οὐ τηρήσω δέ, ἐὰν ἀγανακτῶ πρὸς τὰ γινόμενα.’</p>"
5-1,Greek,"<p>ταράσσει τοὺς ἀνθρώπους οὐ τὰ πράγματα, ἀλλὰ τὰ περὶ τῶν πραγμάτων δόγματα· οἷον ὁ θάνατος οὐδὲν δεινόν （ἐπεὶ καὶ Σωκράτει ἂν ἐφαίνετο）, ἀλλὰ τὸ δόγμα τὸ περὶ τοῦ θανάτου, διότι δεινόν, ἐκεῖνο τὸ δεινόν ἐστιν. ὅταν οὖν ἐμποδιζώμεθα ἣ ταρασσώμεθα ἣ λυπώμεθα, μηδέποτε ἄλλον αἰτιώμεθα, ἀλλ' ἑαυτούς, τοῦτ' ἔστι τὰ ἑαυτῶν δόγματα. ἀπαιδεύτου ἔργον τὸ ἄλλοις ἐγκαλεῖν, ἐφ' οἷς αὐτὸς πράσσει κακῶς· ἠργμένου παιδεύεσθαι τὸ ἑαυτῷ· πεπαιδευμένου τὸ μήτε ἄλλῳ μήτε ἑαυτῷ.</p>"
6-1,Greek,"<p>ἐπὶ μηδενὶ ἐπαρθῇς ἀλλοτρίῳ προτερήματι. εἰ ὁ ἵππος ἐπαιρόμενος ἔλεγεν ὅτι ‘καλός εἰμι,’ οἰστὸν ἂν ἦν· σὺ δέ, ὅταν λέγῃς ἐπαιρόμενος ὅτι ‘ἵππον καλὸν ἔχω,’ ἴσθι, ὅτι ἐπὶ ἵππου ἀγαθῷ ἐπαίρῃ. τί οὖν ἐστι σόν; χρῆσις φαντασιῶν. ὥσθ', ὅταν ἐν χρήσει φαντασιῶν κατὰ φύσιν σχῇς, τηνικαῦτα ἐπάρθητι· τότε γὰρ ἐπὶ σῷ τινι ἀγαθῷ ἐπαρθήσῃ.</p>"
7-1,Greek,"<p>καθάπερ ἐν πλῷ τοῦ πλοίου καθορμισθέντος εἰ ἐξέλθοις ὑθρεύσασθαι, ὁδοῦ μὲν πάρεργον καὶ κοχλίδιον ἀναλέξῃ καὶ βολβάριον, τετάσθαι δὲ δεῖ τὴν διάνοιαν ἐπὶ τὸ πλοῖον καὶ συνεχῶς ἐπιστρέφεσθαι, μή ποτε ὁ κυβερνήτης καλέσῃ, κἂν καλέσῃ, πάντα ἐκεῖνα ἀφιέναι, ἵνα μὴ δεδεμένος ἐμβληθῇς ὡς τὰ πρόβατα· οὕτω καὶ ἐν τῷ βίῳ, ἐὰν διδῶται ἀντὶ βολβαρίου καὶ κοχλιδίου γυναικάριον καὶ παιδίον, οὐδὲν κωλύσει· ἐὰν δὲ ὁ κυβερνήτης καλέσῃ, τρέχε ἐπὶ τὸ πλοῖον ἀφεὶς ἐκεῖνα ἅπαντα μηδὲ ἐπιστρεφόμενος. ἐὰν δὲ γέρων ᾖς, μηδὲ ἀπαλλαγῇς ποτε τοῦ πλοίου μακράν, μή ποτε καλοῦντος ἐλλίπῃς.</p>"
8-1,Greek,"<p>μὴ ζήτει τὰ γινόμενα γίνεσθαι ὡς θέλεις, ἀλλὰ θέλε τὰ γινόμενα ὡς γίνεται καὶ εὐροήσεις.</p>"
9-1,Greek,"<p>νόσος σώματός ἐστιν ἐμπόδιον, προαιρέσεως δὲ οὔ, ἐὰν μὴ αὐτὴ θέλῃ. χώλανσις σκέλους ἐστὶν ἐμπόδιον, προαιρέσεως δὲ οὔ. καὶ τοῦτο ἐφ' ἑκάστου τῶν ἐμπιπτόντων ἐπίλεγε· εὑρήσεις γὰρ αὐτὸ ἄλλου τινὸς ἐμπόδιον, σὸν δὲ οὔ.</p>"
10-1,Greek,"<p>ἐφ' ἑκάστου τῶν προσπιπτόντων μέμνησο ἐπιστρέφων ἐπὶ σεαυτὸν ζητεῖν, τίνα δύναμιν ἔχεις πρὸς τὴν χρῆσιν αὐτοῦ. ἐὰν καλὸν ἴδῃς ἣ καλήν, εὑρήσεις δύναμιν πρὸς ταῦτα ἐγκράτειαν· ἐὰν πόνος προσφέρηται, εὑρήσεις καρτερίαν· ἂν λοιδορία, εὑρήσεις ἀνεξικακίαν. καὶ οὕτως ἐθιζόμενόν σε οὐ συναρπάσουσιν αἱ φαντασίαι.</p>"
1-1,English,"<p>There are things which are within our power, and there are things which are beyond our power. Within our power are opinion, aim, desire, aversion, and, in one word, whatever affairs are our own. Beyond our power are body, property, reputation, office, and, in one word, whatever are not properly our own affairs.</p>"
1-2,English,"<p>Now, the things within our power are by nature free, unrestricted, unhindered; but those beyond our power are weak, dependent, restricted, alien. Remember, then</p>"
